Group1: strain_1|MBOGGBJL_00270 strain_1|MBOGGBJL_00480 strain_1|MBOGGBJL_03108 strain_1|MBOGGBJL_03641 strain_1|MBOGGBJL_01180 strain_1|MBOGGBJL_00408 strain_1|MBOGGBJL_03801 strain_1|MBOGGBJL_03173 strain_1|MBOGGBJL_03052 strain_1|MBOGGBJL_00467 strain_1|MBOGGBJL_02937 strain_1|MBOGGBJL_01854 strain_1|MBOGGBJL_00657 strain_1|MBOGGBJL_01998 strain_1|MBOGGBJL_03527 strain_1|MBOGGBJL_03715 strain_1|MBOGGBJL_01980 strain_1|MBOGGBJL_03528 strain_1|MBOGGBJL_01997 strain_1|MBOGGBJL_02828
Group2: strain_1|MBOGGBJL_00606 strain_1|MBOGGBJL_02577 strain_2|NIKFMFAN_03928 strain_2|NIKFMFAN_04079
Group3: strain_1|MBOGGBJL_03996 strain_1|MBOGGBJL_04008 strain_1|MBOGGBJL_04007 strain_2|NIKFMFAN_04061
Group4: strain_2|NIKFMFAN_02317 strain_2|NIKFMFAN_02336 strain_1|MBOGGBJL_03521
Group5: strain_2|NIKFMFAN_03620 strain_2|NIKFMFAN_04136 strain_1|MBOGGBJL_01329
Group6: strain_2|NIKFMFAN_03936 strain_2|NIKFMFAN_04016 strain_1|MBOGGBJL_00598
Group7: strain_1|MBOGGBJL_00576 strain_1|MBOGGBJL_02556 strain_2|NIKFMFAN_02850
Group8: strain_1|MBOGGBJL_00578 strain_1|MBOGGBJL_02558 strain_2|NIKFMFAN_02851
Group9: strain_1|MBOGGBJL_00579 strain_1|MBOGGBJL_02559 strain_2|NIKFMFAN_02852
Group10: strain_1|MBOGGBJL_00586 strain_1|MBOGGBJL_02562 strain_2|NIKFMFAN_02855
Group11: strain_1|MBOGGBJL_00588 strain_1|MBOGGBJL_02565 strain_2|NIKFMFAN_02857
Group12: strain_1|MBOGGBJL_01413 strain_1|MBOGGBJL_01414 strain_2|NIKFMFAN_01580
Group13: strain_1|MBOGGBJL_01893 strain_1|MBOGGBJL_01894 strain_2|NIKFMFAN_03248
Group14: strain_1|MBOGGBJL_02830 strain_1|MBOGGBJL_02833 strain_2|NIKFMFAN_04118
Group15: strain_1|MBOGGBJL_04010 strain_1|MBOGGBJL_04011 strain_2|NIKFMFAN_04058
Group16: strain_1|MBOGGBJL_00611 strain_1|MBOGGBJL_02582 strain_2|NIKFMFAN_04033
Group17: strain_1|MBOGGBJL_00407 strain_2|NIKFMFAN_01223 strain_1|MBOGGBJL_00409
Group18: strain_1|MBOGGBJL_02849 strain_2|NIKFMFAN_02989 strain_2|NIKFMFAN_02988
Group19: strain_2|NIKFMFAN_03939 strain_2|NIKFMFAN_04018
Group2837: strain_1|MBOGGBJL_02992 strain_2|NIKFMFAN_01783
Group2838: strain_1|MBOGGBJL_02993 strain_2|NIKFMFAN_01784
Group2839: strain_1|MBOGGBJL_02996 strain_2|NIKFMFAN_01785
Group2840: strain_1|MBOGGBJL_02997 strain_2|NIKFMFAN_01786
Group2841: strain_1|MBOGGBJL_02998 strain_2|NIKFMFAN_01787
Group2842: strain_1|MBOGGBJL_02999 strain_2|NIKFMFAN_01788
Group2843: strain_1|MBOGGBJL_03000 strain_2|NIKFMFAN_01789
Group2844: strain_1|MBOGGBJL_03001 strain_2|NIKFMFAN_01790
Group2845: strain_1|MBOGGBJL_03002 strain_2|NIKFMFAN_01791
Group2846: strain_1|MBOGGBJL_03003 strain_2|NIKFMFAN_01792
Group2847: strain_1|MBOGGBJL_03004 strain_2|NIKFMFAN_01793
Group2848: strain_1|MBOGGBJL_03005 strain_2|NIKFMFAN_01794
Group2849: strain_1|MBOGGBJL_03006 strain_2|NIKFMFAN_01795
Group2850: strain_1|MBOGGBJL_03007 strain_2|NIKFMFAN_01796
Group2851: strain_1|MBOGGBJL_03008 strain_2|NIKFMFAN_01797
Group2852: strain_1|MBOGGBJL_03009 strain_2|NIKFMFAN_01798
Group2853: strain_1|MBOGGBJL_03010 strain_2|NIKFMFAN_01799
Group2854: strain_1|MBOGGBJL_03011 strain_2|NIKFMFAN_01800
Group2855: strain_1|MBOGGBJL_03012 strain_2|NIKFMFAN_01801
Group2856: strain_1|MBOGGBJL_03014 strain_2|NIKFMFAN_01803
Group2857: strain_1|MBOGGBJL_03015 strain_2|NIKFMFAN_01804
Group2858: strain_1|MBOGGBJL_03016 strain_2|NIKFMFAN_01805
Group2859: strain_1|MBOGGBJL_03017 strain_2|NIKFMFAN_01806
Group2860: strain_1|MBOGGBJL_03018 strain_2|NIKFMFAN_01807
Group2861: strain_1|MBOGGBJL_03019 strain_2|NIKFMFAN_01808
Group2862: strain_1|MBOGGBJL_03020 strain_2|NIKFMFAN_01809
Group2863: strain_1|MBOGGBJL_03021 strain_2|NIKFMFAN_01810
Group2864: strain_1|MBOGGBJL_03022 strain_2|NIKFMFAN_01811
Group2865: strain_1|MBOGGBJL_03023 strain_2|NIKFMFAN_01812
Group2866: strain_1|MBOGGBJL_03024 strain_2|NIKFMFAN_01813
Group2867: strain_1|MBOGGBJL_03025 strain_2|NIKFMFAN_01814
Group2868: strain_1|MBOGGBJL_03026 strain_2|NIKFMFAN_01815
Group2869: strain_1|MBOGGBJL_03028 strain_2|NIKFMFAN_01817
Group2870: strain_1|MBOGGBJL_03029 strain_2|NIKFMFAN_01818
Group2871: strain_1|MBOGGBJL_03030 strain_2|NIKFMFAN_01819
Group2872: strain_1|MBOGGBJL_03031 strain_2|NIKFMFAN_01820
Group2873: strain_1|MBOGGBJL_03032 strain_2|NIKFMFAN_01822
Group2874: strain_1|MBOGGBJL_03033 strain_2|NIKFMFAN_01823
Group2875: strain_1|MBOGGBJL_03034 strain_2|NIKFMFAN_01824
Group2876: strain_1|MBOGGBJL_03035 strain_2|NIKFMFAN_01829
Group2877: strain_1|MBOGGBJL_03036 strain_2|NIKFMFAN_01830
Group2878: strain_1|MBOGGBJL_03037 strain_2|NIKFMFAN_01831
Group2879: strain_1|MBOGGBJL_03038 strain_2|NIKFMFAN_01832
Group2880: strain_1|MBOGGBJL_03039 strain_2|NIKFMFAN_01833
Group2881: strain_1|MBOGGBJL_03040 strain_2|NIKFMFAN_01834
Group2882: strain_1|MBOGGBJL_03041 strain_2|NIKFMFAN_01835
Group2883: strain_1|MBOGGBJL_03042 strain_2|NIKFMFAN_01836
Group2884: strain_1|MBOGGBJL_03043 strain_2|NIKFMFAN_01837
Group2885: strain_1|MBOGGBJL_03044 strain_2|NIKFMFAN_01838
Group2886: strain_1|MBOGGBJL_03045 strain_2|NIKFMFAN_01839
Group2887: strain_1|MBOGGBJL_03046 strain_2|NIKFMFAN_01840
Group2888: strain_1|MBOGGBJL_03048 strain_2|NIKFMFAN_01842
Group2889: strain_1|MBOGGBJL_03049 strain_2|NIKFMFAN_01843
Group2890: strain_1|MBOGGBJL_03051 strain_2|NIKFMFAN_01845
Group2891: strain_1|MBOGGBJL_03054 strain_2|NIKFMFAN_01847
Group2892: strain_1|MBOGGBJL_03056 strain_2|NIKFMFAN_01849
Group2893: strain_1|MBOGGBJL_03057 strain_2|NIKFMFAN_01850
Group2894: strain_1|MBOGGBJL_03058 strain_2|NIKFMFAN_01851
Group2895: strain_1|MBOGGBJL_03059 strain_2|NIKFMFAN_01852
Group2896: strain_1|MBOGGBJL_03060 strain_2|NIKFMFAN_01853
Group2897: strain_1|MBOGGBJL_03061 strain_2|NIKFMFAN_01854
Group2898: strain_1|MBOGGBJL_03062 strain_2|NIKFMFAN_01855
Group2899: strain_1|MBOGGBJL_03063 strain_2|NIKFMFAN_01856
Group2900: strain_1|MBOGGBJL_03064 strain_2|NIKFMFAN_01857
Group2901: strain_1|MBOGGBJL_03065 strain_2|NIKFMFAN_01858
Group2902: strain_1|MBOGGBJL_03066 strain_2|NIKFMFAN_01859
Group2903: strain_1|MBOGGBJL_03067 strain_2|NIKFMFAN_01860
Group2904: strain_1|MBOGGBJL_03068 strain_2|NIKFMFAN_01861
Group2905: strain_1|MBOGGBJL_03069 strain_2|NIKFMFAN_01862
Group2906: strain_1|MBOGGBJL_03070 strain_2|NIKFMFAN_01863
Group2907: strain_1|MBOGGBJL_03071 strain_2|NIKFMFAN_01864
Group2908: strain_1|MBOGGBJL_03072 strain_2|NIKFMFAN_01865
Group2909: strain_1|MBOGGBJL_03073 strain_2|NIKFMFAN_01866
Group2910: strain_1|MBOGGBJL_03074 strain_2|NIKFMFAN_01867
Group2911: strain_1|MBOGGBJL_03075 strain_2|NIKFMFAN_01868
Group2912: strain_1|MBOGGBJL_03076 strain_2|NIKFMFAN_01869
Group2913: strain_1|MBOGGBJL_03077 strain_2|NIKFMFAN_01870
Group2914: strain_1|MBOGGBJL_03079 strain_2|NIKFMFAN_01873
Group2915: strain_1|MBOGGBJL_03080 strain_2|NIKFMFAN_01874
Group2916: strain_1|MBOGGBJL_03081 strain_2|NIKFMFAN_01875
Group2917: strain_1|MBOGGBJL_03082 strain_2|NIKFMFAN_01876
Group2918: strain_1|MBOGGBJL_03083 strain_2|NIKFMFAN_01877
Group2919: strain_1|MBOGGBJL_03084 strain_2|NIKFMFAN_01878
Group2920: strain_1|MBOGGBJL_03086 strain_2|NIKFMFAN_01879
Group2921: strain_1|MBOGGBJL_03087 strain_2|NIKFMFAN_01880
Group2922: strain_1|MBOGGBJL_03088 strain_2|NIKFMFAN_01881
Group2923: strain_1|MBOGGBJL_03089 strain_2|NIKFMFAN_01882
Group2924: strain_1|MBOGGBJL_03090 strain_2|NIKFMFAN_01883
Group2925: strain_1|MBOGGBJL_03091 strain_2|NIKFMFAN_01884
Group2926: strain_1|MBOGGBJL_03092 strain_2|NIKFMFAN_01885
Group2927: strain_1|MBOGGBJL_03093 strain_2|NIKFMFAN_01886
Group2928: strain_1|MBOGGBJL_03094 strain_2|NIKFMFAN_00319
Group2929: strain_1|MBOGGBJL_03095 strain_2|NIKFMFAN_00318
Group2930: strain_1|MBOGGBJL_03096 strain_2|NIKFMFAN_00317
Group2931: strain_1|MBOGGBJL_03097 strain_2|NIKFMFAN_00316
Group2932: strain_1|MBOGGBJL_03099 strain_2|NIKFMFAN_00314
Group2933: strain_1|MBOGGBJL_03101 strain_2|NIKFMFAN_00312
Group2934: strain_1|MBOGGBJL_03104 strain_2|NIKFMFAN_00309
Group2935: strain_1|MBOGGBJL_03105 strain_2|NIKFMFAN_00308
Group2936: strain_1|MBOGGBJL_03106 strain_2|NIKFMFAN_00307
Group2937: strain_1|MBOGGBJL_03107 strain_2|NIKFMFAN_00306
Group2938: strain_1|MBOGGBJL_03109 strain_2|NIKFMFAN_00305
Group2939: strain_1|MBOGGBJL_03110 strain_2|NIKFMFAN_00304
Group2940: strain_1|MBOGGBJL_03111 strain_2|NIKFMFAN_00303
Group2941: strain_1|MBOGGBJL_03112 strain_2|NIKFMFAN_00302
Group2942: strain_1|MBOGGBJL_03113 strain_2|NIKFMFAN_00301
Group2943: strain_1|MBOGGBJL_03114 strain_2|NIKFMFAN_00300
Group2944: strain_1|MBOGGBJL_03115 strain_2|NIKFMFAN_00299
Group2945: strain_1|MBOGGBJL_03116 strain_2|NIKFMFAN_00298
Group2946: strain_1|MBOGGBJL_03117 strain_2|NIKFMFAN_00297
Group2947: strain_1|MBOGGBJL_03118 strain_2|NIKFMFAN_00296
Group2948: strain_1|MBOGGBJL_03119 strain_2|NIKFMFAN_00295
Group2949: strain_1|MBOGGBJL_03120 strain_2|NIKFMFAN_00294
Group2950: strain_1|MBOGGBJL_03121 strain_2|NIKFMFAN_00293
Group2951: strain_1|MBOGGBJL_03122 strain_2|NIKFMFAN_00292
Group2952: strain_1|MBOGGBJL_03123 strain_2|NIKFMFAN_00291
Group2953: strain_1|MBOGGBJL_03124 strain_2|NIKFMFAN_00290
Group2954: strain_1|MBOGGBJL_03125 strain_2|NIKFMFAN_00289
Group2955: strain_1|MBOGGBJL_03126 strain_2|NIKFMFAN_00288
Group2956: strain_1|MBOGGBJL_03127 strain_2|NIKFMFAN_00287
Group2957: strain_1|MBOGGBJL_03128 strain_2|NIKFMFAN_00286
Group2958: strain_1|MBOGGBJL_03129 strain_2|NIKFMFAN_00285
Group2959: strain_1|MBOGGBJL_03130 strain_2|NIKFMFAN_00284
Group2960: strain_1|MBOGGBJL_03131 strain_2|NIKFMFAN_00283
Group2961: strain_1|MBOGGBJL_03132 strain_2|NIKFMFAN_00282
Group2962: strain_1|MBOGGBJL_03133 strain_2|NIKFMFAN_00281
Group2963: strain_1|MBOGGBJL_03134 strain_2|NIKFMFAN_00280
Group2964: strain_1|MBOGGBJL_03135 strain_2|NIKFMFAN_00279
Group2965: strain_1|MBOGGBJL_03136 strain_2|NIKFMFAN_00278
Group2966: strain_1|MBOGGBJL_03137 strain_2|NIKFMFAN_00277
Group2967: strain_1|MBOGGBJL_03138 strain_2|NIKFMFAN_00276
Group2968: strain_1|MBOGGBJL_03139 strain_2|NIKFMFAN_00275
Group2969: strain_1|MBOGGBJL_03140 strain_2|NIKFMFAN_00274
Group2970: strain_1|MBOGGBJL_03141 strain_2|NIKFMFAN_00273
Group2971: strain_1|MBOGGBJL_03142 strain_2|NIKFMFAN_00272
Group2972: strain_1|MBOGGBJL_03143 strain_2|NIKFMFAN_00271
Group2973: strain_1|MBOGGBJL_03144 strain_2|NIKFMFAN_00270
Group2974: strain_1|MBOGGBJL_03145 strain_2|NIKFMFAN_00269
Group2975: strain_1|MBOGGBJL_03146 strain_2|NIKFMFAN_00268
Group2976: strain_1|MBOGGBJL_03147 strain_2|NIKFMFAN_00267
Group2977: strain_1|MBOGGBJL_03148 strain_2|NIKFMFAN_00266
Group2978: strain_1|MBOGGBJL_03149 strain_2|NIKFMFAN_00265
Group2979: strain_1|MBOGGBJL_03150 strain_2|NIKFMFAN_00264
Group2980: strain_1|MBOGGBJL_03152 strain_2|NIKFMFAN_00262
Group2981: strain_1|MBOGGBJL_03154 strain_2|NIKFMFAN_00260
Group2982: strain_1|MBOGGBJL_03155 strain_2|NIKFMFAN_00259
Group2983: strain_1|MBOGGBJL_03156 strain_2|NIKFMFAN_00258
Group2984: strain_1|MBOGGBJL_03157 strain_2|NIKFMFAN_00257
Group2985: strain_1|MBOGGBJL_03158 strain_2|NIKFMFAN_00256
Group2986: strain_1|MBOGGBJL_03159 strain_2|NIKFMFAN_00255
Group2987: strain_1|MBOGGBJL_03160 strain_2|NIKFMFAN_00254
Group2988: strain_1|MBOGGBJL_03161 strain_2|NIKFMFAN_00253
Group2989: strain_1|MBOGGBJL_03162 strain_2|NIKFMFAN_00252
Group2990: strain_1|MBOGGBJL_03163 strain_2|NIKFMFAN_00251
Group2991: strain_1|MBOGGBJL_03164 strain_2|NIKFMFAN_00250
Group2992: strain_1|MBOGGBJL_03165 strain_2|NIKFMFAN_00249
Group2993: strain_1|MBOGGBJL_03166 strain_2|NIKFMFAN_00248
Group2994: strain_1|MBOGGBJL_03167 strain_2|NIKFMFAN_00247
Group2995: strain_1|MBOGGBJL_03168 strain_2|NIKFMFAN_00246
Group2996: strain_1|MBOGGBJL_03170 strain_2|NIKFMFAN_00244
Group2997: strain_1|MBOGGBJL_03171 strain_2|NIKFMFAN_00243
Group2998: strain_1|MBOGGBJL_03174 strain_2|NIKFMFAN_00242
Group2999: strain_1|MBOGGBJL_03175 strain_2|NIKFMFAN_00241
Group3000: strain_1|MBOGGBJL_03176 strain_2|NIKFMFAN_00240
Group3001: strain_1|MBOGGBJL_03177 strain_2|NIKFMFAN_00239
Group3002: strain_1|MBOGGBJL_03178 strain_2|NIKFMFAN_00238
Group3003: strain_1|MBOGGBJL_03179 strain_2|NIKFMFAN_00237
Group3004: strain_1|MBOGGBJL_03180 strain_2|NIKFMFAN_00236
Group3005: strain_1|MBOGGBJL_03181 strain_2|NIKFMFAN_00235
Group3006: strain_1|MBOGGBJL_03182 strain_2|NIKFMFAN_00234
Group3007: strain_1|MBOGGBJL_03183 strain_2|NIKFMFAN_00233
Group3008: strain_1|MBOGGBJL_03184 strain_2|NIKFMFAN_00232
Group3009: strain_1|MBOGGBJL_03185 strain_2|NIKFMFAN_00231
Group3010: strain_1|MBOGGBJL_03186 strain_2|NIKFMFAN_00230
Group3011: strain_1|MBOGGBJL_03187 strain_2|NIKFMFAN_00229
Group3012: strain_1|MBOGGBJL_03188 strain_2|NIKFMFAN_00228
Group3013: strain_1|MBOGGBJL_03189 strain_2|NIKFMFAN_00227
Group3014: strain_1|MBOGGBJL_03190 strain_2|NIKFMFAN_00226
Group3015: strain_1|MBOGGBJL_03191 strain_2|NIKFMFAN_00225
Group3016: strain_1|MBOGGBJL_03192 strain_2|NIKFMFAN_00224
Group3017: strain_1|MBOGGBJL_03193 strain_2|NIKFMFAN_00223
Group3018: strain_1|MBOGGBJL_03194 strain_2|NIKFMFAN_00222
Group3019: strain_1|MBOGGBJL_03195 strain_2|NIKFMFAN_00221
Group3020: strain_1|MBOGGBJL_03196 strain_2|NIKFMFAN_00220
Group3021: strain_1|MBOGGBJL_03197 strain_2|NIKFMFAN_00219
Group3022: strain_1|MBOGGBJL_03199 strain_2|NIKFMFAN_00217
Group3023: strain_1|MBOGGBJL_03200 strain_2|NIKFMFAN_00216
Group3024: strain_1|MBOGGBJL_03201 strain_2|NIKFMFAN_00215
Group3025: strain_1|MBOGGBJL_03202 strain_2|NIKFMFAN_00214
Group3026: strain_1|MBOGGBJL_03203 strain_2|NIKFMFAN_00213
Group3027: strain_1|MBOGGBJL_03204 strain_2|NIKFMFAN_00212
Group3028: strain_1|MBOGGBJL_03205 strain_2|NIKFMFAN_00211
Group3029: strain_1|MBOGGBJL_03206 strain_2|NIKFMFAN_00210
Group3030: strain_1|MBOGGBJL_03207 strain_2|NIKFMFAN_00209
Group3031: strain_1|MBOGGBJL_03208 strain_2|NIKFMFAN_00208
Group3032: strain_1|MBOGGBJL_03209 strain_2|NIKFMFAN_00207
Group3033: strain_1|MBOGGBJL_03210 strain_2|NIKFMFAN_00206
Group3034: strain_1|MBOGGBJL_03211 strain_2|NIKFMFAN_00205
Group3035: strain_1|MBOGGBJL_03212 strain_2|NIKFMFAN_00204
Group3036: strain_1|MBOGGBJL_03213 strain_2|NIKFMFAN_00203
Group3037: strain_1|MBOGGBJL_03214 strain_2|NIKFMFAN_00202
Group3038: strain_1|MBOGGBJL_03215 strain_2|NIKFMFAN_00201
Group3039: strain_1|MBOGGBJL_03216 strain_2|NIKFMFAN_00200
Group3040: strain_1|MBOGGBJL_03217 strain_2|NIKFMFAN_00199
Group3041: strain_1|MBOGGBJL_03218 strain_2|NIKFMFAN_00197
Group3042: strain_1|MBOGGBJL_03220 strain_2|NIKFMFAN_00195
Group3043: strain_1|MBOGGBJL_03221 strain_2|NIKFMFAN_00194
Group3044: strain_1|MBOGGBJL_03222 strain_2|NIKFMFAN_00193
Group3045: strain_1|MBOGGBJL_03223 strain_2|NIKFMFAN_00192
Group3046: strain_1|MBOGGBJL_03224 strain_2|NIKFMFAN_00191
Group3047: strain_1|MBOGGBJL_03225 strain_2|NIKFMFAN_00190
Group3048: strain_1|MBOGGBJL_03226 strain_2|NIKFMFAN_00189
Group3049: strain_1|MBOGGBJL_03227 strain_2|NIKFMFAN_00188
Group3050: strain_1|MBOGGBJL_03228 strain_2|NIKFMFAN_00187
Group3051: strain_1|MBOGGBJL_03229 strain_2|NIKFMFAN_00186
Group3052: strain_1|MBOGGBJL_03230 strain_2|NIKFMFAN_00185
Group3053: strain_1|MBOGGBJL_03231 strain_2|NIKFMFAN_00184
Group3054: strain_1|MBOGGBJL_03233 strain_2|NIKFMFAN_00182
Group3055: strain_1|MBOGGBJL_03234 strain_2|NIKFMFAN_00181
Group3056: strain_1|MBOGGBJL_03235 strain_2|NIKFMFAN_00180
Group3057: strain_1|MBOGGBJL_03236 strain_2|NIKFMFAN_00179
Group3058: strain_1|MBOGGBJL_03237 strain_2|NIKFMFAN_00178
Group3059: strain_1|MBOGGBJL_03238 strain_2|NIKFMFAN_00177
Group3060: strain_1|MBOGGBJL_03239 strain_2|NIKFMFAN_00176
Group3061: strain_1|MBOGGBJL_03240 strain_2|NIKFMFAN_00175
Group3062: strain_1|MBOGGBJL_03241 strain_2|NIKFMFAN_00174
Group3063: strain_1|MBOGGBJL_03242 strain_2|NIKFMFAN_00173
Group3064: strain_1|MBOGGBJL_03243 strain_2|NIKFMFAN_00172
Group3065: strain_1|MBOGGBJL_03245 strain_2|NIKFMFAN_00170
Group3066: strain_1|MBOGGBJL_03246 strain_2|NIKFMFAN_00169
Group3067: strain_1|MBOGGBJL_03247 strain_2|NIKFMFAN_00168
Group3068: strain_1|MBOGGBJL_03248 strain_2|NIKFMFAN_00167
Group3069: strain_1|MBOGGBJL_03249 strain_2|NIKFMFAN_00166
Group3070: strain_1|MBOGGBJL_03250 strain_2|NIKFMFAN_00165
Group3071: strain_1|MBOGGBJL_03251 strain_2|NIKFMFAN_00164
Group3072: strain_1|MBOGGBJL_03252 strain_2|NIKFMFAN_00163
Group3073: strain_1|MBOGGBJL_03253 strain_2|NIKFMFAN_00162
Group3074: strain_1|MBOGGBJL_03254 strain_2|NIKFMFAN_00161
Group3075: strain_1|MBOGGBJL_03255 strain_2|NIKFMFAN_00160
Group3076: strain_1|MBOGGBJL_03256 strain_2|NIKFMFAN_00159
Group3077: strain_1|MBOGGBJL_03257 strain_2|NIKFMFAN_00158
Group3078: strain_1|MBOGGBJL_03258 strain_2|NIKFMFAN_00157
Group3079: strain_1|MBOGGBJL_03259 strain_2|NIKFMFAN_00156
Group3080: strain_1|MBOGGBJL_03260 strain_2|NIKFMFAN_00155
Group3081: strain_1|MBOGGBJL_03261 strain_2|NIKFMFAN_00154
Group3082: strain_1|MBOGGBJL_03262 strain_2|NIKFMFAN_00153
Group3083: strain_1|MBOGGBJL_03263 strain_2|NIKFMFAN_00152
Group3084: strain_1|MBOGGBJL_03264 strain_2|NIKFMFAN_00151
Group3085: strain_1|MBOGGBJL_03265 strain_2|NIKFMFAN_00150
Group3086: strain_1|MBOGGBJL_03266 strain_2|NIKFMFAN_00149
Group3087: strain_1|MBOGGBJL_03267 strain_2|NIKFMFAN_00148
Group3088: strain_1|MBOGGBJL_03269 strain_2|NIKFMFAN_03391
Group3089: strain_1|MBOGGBJL_03270 strain_2|NIKFMFAN_03392
Group3090: strain_1|MBOGGBJL_03271 strain_2|NIKFMFAN_03393
Group3091: strain_1|MBOGGBJL_03272 strain_2|NIKFMFAN_03394
Group3092: strain_1|MBOGGBJL_03273 strain_2|NIKFMFAN_03395
Group3093: strain_1|MBOGGBJL_03274 strain_2|NIKFMFAN_03396
Group3094: strain_1|MBOGGBJL_03275 strain_2|NIKFMFAN_03397
Group3095: strain_1|MBOGGBJL_03276 strain_2|NIKFMFAN_03398
Group3096: strain_1|MBOGGBJL_03277 strain_2|NIKFMFAN_03399
Group3097: strain_1|MBOGGBJL_03278 strain_2|NIKFMFAN_03400
Group3098: strain_1|MBOGGBJL_03279 strain_2|NIKFMFAN_03401
Group3099: strain_1|MBOGGBJL_03280 strain_2|NIKFMFAN_03402
Group3100: strain_1|MBOGGBJL_03281 strain_2|NIKFMFAN_03403
Group3101: strain_1|MBOGGBJL_03282 strain_2|NIKFMFAN_03404
Group3102: strain_1|MBOGGBJL_03283 strain_2|NIKFMFAN_03405
Group3103: strain_1|MBOGGBJL_03284 strain_2|NIKFMFAN_03406
Group3104: strain_1|MBOGGBJL_03285 strain_2|NIKFMFAN_03407
Group3105: strain_1|MBOGGBJL_03286 strain_2|NIKFMFAN_03408
Group3106: strain_1|MBOGGBJL_03287 strain_2|NIKFMFAN_03409
Group3107: strain_1|MBOGGBJL_03288 strain_2|NIKFMFAN_03410
Group3108: strain_1|MBOGGBJL_03289 strain_2|NIKFMFAN_03411
Group3109: strain_1|MBOGGBJL_03290 strain_2|NIKFMFAN_03412
Group3110: strain_1|MBOGGBJL_03291 strain_2|NIKFMFAN_03413
Group3111: strain_1|MBOGGBJL_03292 strain_2|NIKFMFAN_03414
Group3112: strain_1|MBOGGBJL_03293 strain_2|NIKFMFAN_03415
Group3113: strain_1|MBOGGBJL_03294 strain_2|NIKFMFAN_03416
Group3114: strain_1|MBOGGBJL_03295 strain_2|NIKFMFAN_03417
Group3115: strain_1|MBOGGBJL_03296 strain_2|NIKFMFAN_03418
Group3116: strain_1|MBOGGBJL_03297 strain_2|NIKFMFAN_03419
Group3117: strain_1|MBOGGBJL_03298 strain_2|NIKFMFAN_03420
Group3118: strain_1|MBOGGBJL_03299 strain_2|NIKFMFAN_03421
Group3119: strain_1|MBOGGBJL_03300 strain_2|NIKFMFAN_03422
Group3120: strain_1|MBOGGBJL_03301 strain_2|NIKFMFAN_03423
Group3121: strain_1|MBOGGBJL_03302 strain_2|NIKFMFAN_03424
Group3122: strain_1|MBOGGBJL_03303 strain_2|NIKFMFAN_03425
Group3123: strain_1|MBOGGBJL_03304 strain_2|NIKFMFAN_03426
Group3124: strain_1|MBOGGBJL_03305 strain_2|NIKFMFAN_03427
Group3125: strain_1|MBOGGBJL_03306 strain_2|NIKFMFAN_03428
Group3126: strain_1|MBOGGBJL_03307 strain_2|NIKFMFAN_03429
Group3127: strain_1|MBOGGBJL_03312 strain_2|NIKFMFAN_03434
Group3128: strain_1|MBOGGBJL_03313 strain_2|NIKFMFAN_03435
Group3129: strain_1|MBOGGBJL_03314 strain_2|NIKFMFAN_03436
Group3130: strain_1|MBOGGBJL_03315 strain_2|NIKFMFAN_03437
Group3131: strain_1|MBOGGBJL_03316 strain_2|NIKFMFAN_03438
Group3132: strain_1|MBOGGBJL_03317 strain_2|NIKFMFAN_03439
Group3133: strain_1|MBOGGBJL_03318 strain_2|NIKFMFAN_03440
Group3134: strain_1|MBOGGBJL_03319 strain_2|NIKFMFAN_03441
Group3135: strain_1|MBOGGBJL_03320 strain_2|NIKFMFAN_03442
Group3136: strain_1|MBOGGBJL_03321 strain_2|NIKFMFAN_03443
Group3137: strain_1|MBOGGBJL_03322 strain_2|NIKFMFAN_03444
Group3138: strain_1|MBOGGBJL_03323 strain_2|NIKFMFAN_03445
Group3139: strain_1|MBOGGBJL_03324 strain_2|NIKFMFAN_03446
Group3140: strain_1|MBOGGBJL_03325 strain_2|NIKFMFAN_03447
Group3141: strain_1|MBOGGBJL_03326 strain_2|NIKFMFAN_03448
Group3142: strain_1|MBOGGBJL_03327 strain_2|NIKFMFAN_03449
Group3143: strain_1|MBOGGBJL_03328 strain_2|NIKFMFAN_03450
Group3144: strain_1|MBOGGBJL_03329 strain_2|NIKFMFAN_03451
Group3145: strain_1|MBOGGBJL_03330 strain_2|NIKFMFAN_03452
Group3146: strain_1|MBOGGBJL_03331 strain_2|NIKFMFAN_03453
Group3147: strain_1|MBOGGBJL_03332 strain_2|NIKFMFAN_03454
Group3148: strain_1|MBOGGBJL_03333 strain_2|NIKFMFAN_03455
Group3149: strain_1|MBOGGBJL_03334 strain_2|NIKFMFAN_03456
Group3150: strain_1|MBOGGBJL_03335 strain_2|NIKFMFAN_03457
Group3151: strain_1|MBOGGBJL_03336 strain_2|NIKFMFAN_03458
Group3152: strain_1|MBOGGBJL_03337 strain_2|NIKFMFAN_03459
Group3153: strain_1|MBOGGBJL_03338 strain_2|NIKFMFAN_03460
Group3154: strain_1|MBOGGBJL_03339 strain_2|NIKFMFAN_03461
Group3155: strain_1|MBOGGBJL_03340 strain_2|NIKFMFAN_03462
Group3156: strain_1|MBOGGBJL_03341 strain_2|NIKFMFAN_03463
Group3157: strain_1|MBOGGBJL_03342 strain_2|NIKFMFAN_03464
Group3158: strain_1|MBOGGBJL_03343 strain_2|NIKFMFAN_03465
Group3159: strain_1|MBOGGBJL_03344 strain_2|NIKFMFAN_03466
Group3160: strain_1|MBOGGBJL_03345 strain_2|NIKFMFAN_03467
